words,sentiment_coff
i,1.2803403736758392
 ,1.0076930245305
e,1.2418765257338151
n,1.466934895556278
j,1.0259335481773486
o,1.0351338031913582
y,1.0565053523066525
k,1.041101869703248
r,1.2621951332520056
s,1.5376969433220986
l,1.4457821668020123
a,1.2730228128677559
d,1.4112190221842444
c,1.0012404875910625
w,1.3012404801972965
m,1.1571190673232887
v,1.0547395892632532
h,1.0618723080794266
u,1.0519783408432168
f,1.1341364988420408
t,1.1777706263797674
g,1.1357921388276442
p,0.9887379286356895
b,1.1585485421937178
8,-2.775555992622552
q,-1.1243161630092058
x,-1.1761598885375053
6,-3.7467206817652303
9,-2.570729604530703
5,-3.0638126011815063
z,-1.4194420121434081
2,-1.4389987391953012
0,-1.3212809200401046
1,-1.5330472898056122
3,-3.1303237331058416
7,-3.060037217837776
4,-2.9813685856355514
ุง,-1.6677942902147322
